IFMT Cuiabá Octayde oferta curso de instalador de placas solares em parceria com Sindenergia
 | Participe do I Workshop Empreendedor da Ativa Incubadora Santos Dumont
 | Dinfra publica E-Book em comemoração aos 20 anos do Curso Superior de Tecnologia em Controle de Obras
 | Inscrições para a 18ª edição do Parlamento Jovem Brasileiro vão até 30 de junho
 | IFMT integra Missão Técnica de Inovação em Israel e Dubai
 | 
